Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution
231,1832,669,0.0009999275207519531,"{230, 135, 138, 140, 172, 19, 56, 218, 27}"
232,1840,555,0.0009984970092773438,"{162, 229, 77, 116, 152, 217, 56, 155}"
233,1849,651,0.0009989738464355469,"{201, 106, 76, 77, 83, 85, 22, 56}"
234,1858,666,0.0009996891021728516,"{217, 168, 10, 172, 210, 148, 56, 185}"
235,1865,613,0.0,"{97, 198, 10, 177, 119, 151, 218}"
236,1875,585,0.0,"{73, 138, 140, 56, 218, 59, 152}"
237,1886,627,0.0,"{137, 138, 10, 106, 209, 145, 154, 60}"
238,1897,687,0.0010004043579101562,"{102, 106, 172, 176, 55, 119, 56, 26, 59}"
239,1901,526,0.0,"{201, 173, 83, 56, 93, 63}"
240,1916,730,0.0009992122650146484,"{32, 224, 237, 177, 53, 214, 151, 216, 187}"
241,1926,814,0.0009996891021728516,"{100, 135, 172, 237, 206, 76, 209, 148, 152}"
242,1931,592,0.00115966796875,"{191, 7, 204, 237, 77, 220, 63}"
243,1942,612,0.00099945068359375,"{162, 197, 135, 77, 176, 18, 53, 189}"
244,1952,751,0.0009996891021728516,"{166, 135, 10, 206, 83, 214, 56, 93}"
245,1961,657,0.00099945068359375,"{128, 164, 10, 31, 22, 152, 127, 191}"
246,1972,687,0.0,"{96, 162, 10, 106, 140, 237, 48, 212, 181}"
247,1980,743,0.0010006427764892578,"{201, 10, 140, 177, 53, 119, 218, 189}"
248,1991,624,0.0009996891021728516,"{97, 34, 99, 193, 138, 108, 242, 51, 26}"
249,1999,747,0.0010001659393310547,"{201, 106, 10, 179, 25, 220, 93, 63}"
250,2006,641,0.0,"{135, 7, 201, 10, 140, 206, 25}"
251,2017,681,0.0,"{7, 231, 201, 140, 113, 50, 23, 25}"
252,2027,631,0.0010001659393310547,"{192, 10, 171, 237, 177, 50, 151, 152}"
253,2036,691,0.0010001659393310547,"{34, 200, 140, 172, 113, 119, 25, 221}"
254,2046,717,0.0,"{101, 10, 139, 113, 214, 119, 25, 123}"
255,2057,716,0.0,"{64, 121, 9, 10, 237, 50, 25, 218, 59}"
256,2064,619,0.0,"{4, 138, 10, 42, 177, 152, 25, 123}"
257,2074,735,0.0,"{3, 10, 172, 140, 83, 179, 119, 93}"
258,2081,603,0.0,"{225, 162, 35, 135, 237, 25, 63}"
259,2093,642,0.0010008811950683594,"{138, 10, 76, 109, 177, 24, 63, 191}"
260,2100,661,0.0,"{225, 162, 166, 140, 50, 56, 63}"
261,2110,619,0.0,"{39, 201, 106, 113, 242, 119, 123}"
262,2119,602,0.0009999275207519531,"{34, 201, 138, 77, 50, 149, 119}"
263,2131,620,0.0009999275207519531,"{137, 138, 10, 172, 9, 11, 18, 25}"
264,2138,611,0.0010001659393310547,"{162, 69, 172, 177, 214, 119, 63}"
