Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution
183,1390,655,0.0,"{162, 10, 106, 83, 84, 119, 56}"
184,1399,636,0.0,"{166, 102, 10, 50, 119, 152, 123}"
185,1406,491,0.0,"{73, 10, 140, 77, 83, 119}"
186,1419,595,0.0,"{130, 10, 138, 172, 175, 146, 119, 63}"
187,1426,549,0.0,"{34, 10, 108, 44, 14, 93, 127}"
188,1431,489,0.0,"{10, 106, 83, 56, 152}"
189,1444,627,0.0,"{128, 10, 138, 108, 23, 152, 187}"
190,1453,518,0.0,"{10, 106, 140, 14, 119, 94, 63}"
191,1462,604,0.0,"{34, 10, 13, 83, 152, 122, 63}"
192,1467,475,0.0,"{10, 138, 56, 58, 93}"
193,1478,509,0.0,"{162, 132, 101, 10, 138, 56}"
194,1489,582,0.0,"{137, 10, 76, 83, 118, 152, 191}"
195,1498,554,0.0,"{101, 6, 10, 56, 127, 125, 63}"
196,1505,574,0.0,"{166, 10, 172, 77, 108, 56}"
197,1516,571,0.0009999275207519531,"{100, 101, 71, 10, 172, 141, 119}"
198,1527,639,0.0,"{3, 164, 10, 178, 117, 152, 123, 93}"
199,1538,683,0.0,"{97, 1, 98, 167, 10, 113, 119, 152, 187}"
200,1543,556,0.0,"{195, 10, 119, 23, 185, 31, 63}"
201,1554,618,0.0,"{6, 10, 113, 82, 51, 52, 119, 93}"
202,1563,511,0.0,"{201, 10, 138, 22, 151, 89, 58, 61}"
203,1571,598,0.0,"{97, 10, 138, 139, 11, 112, 127}"
204,1582,602,0.0,"{153, 102, 10, 23, 25, 155, 93, 63}"
205,1591,675,0.0,"{3, 69, 10, 77, 145, 51, 83, 119}"
206,1596,541,0.0,"{136, 10, 138, 13, 119, 191}"
207,1607,554,0.0,"{10, 77, 49, 119, 56, 151, 191}"
208,1618,646,0.0,"{201, 10, 110, 113, 179, 119, 56, 95}"
209,1625,547,0.0,"{3, 10, 52, 187, 93, 62, 127}"
210,1634,544,0.0,"{162, 98, 197, 10, 138, 170, 93}"
211,1644,561,0.0,"{1, 10, 138, 50, 152, 59, 92}"
212,1651,541,0.0,"{162, 70, 137, 10, 56, 93}"
213,1660,535,0.0,"{32, 162, 40, 10, 140, 119}"
214,1673,590,0.0,"{66, 8, 10, 77, 22, 119, 56, 189}"
215,1680,562,0.0010004043579101562,"{136, 10, 138, 48, 56, 31, 127}"
216,1692,663,0.0,"{162, 3, 10, 171, 143, 145, 119, 152}"
217,1699,528,0.0,"{10, 63, 87, 56, 183, 152, 216}"
218,1708,577,0.0,"{162, 137, 10, 171, 206, 114, 119}"
219,1719,559,0.0,"{167, 10, 172, 150, 23, 152, 59, 92}"
220,1728,566,0.0,"{38, 10, 140, 113, 22, 183, 152, 219}"
221,1738,620,0.0,"{101, 137, 10, 82, 119, 149, 23, 152}"
222,1747,587,0.0,"{162, 199, 10, 77, 177, 53, 219, 94}"
223,1756,608,0.0,"{135, 10, 138, 82, 212, 56, 152, 222}"
224,1765,616,0.0,"{10, 174, 212, 214, 119, 154, 123, 63}"
225,1775,598,0.0,"{103, 10, 77, 177, 49, 119, 152, 187}"
226,1784,696,0.0,"{69, 198, 10, 13, 152, 56, 93, 216}"
227,1793,682,0.0010001659393310547,"{10, 171, 50, 83, 56, 90, 152, 190}"
228,1800,614,0.0,"{35, 135, 10, 119, 56, 216, 191}"
229,1810,593,0.0,"{10, 13, 22, 152, 93, 30, 63}"
230,1823,735,0.0,"{26, 10, 139, 140, 172, 56, 218, 123, 216}"
231,1830,645,0.0,"{197, 10, 76, 209, 83, 21, 152, 93}"
